证券代码,证券简称,一致预测营业收入(FY1),一致预测净利润(FY1),一致预测ROE(FY1),一致预测每股净资产(FY1),每股收益EPS-基本,净资产收益率ROE(平均),总资产报酬率ROA,资产负债率,流动比率,总资产(同比增长率),营业收入(同比增长率),销售毛利率,每股净资产BPS,营业利润,长期借款,短期借款,营业收入,报告期,下一期营收
000002.SZ,万科A,4.42799E+11,45944303269,20.9352,19.9343,3.47,22.6117,5.0492,84.359,1.1307,13.1724,23.5873,36.2451,16.6392,76613136042,1.1432E+11,15365231785,3.67894E+11,年报,1.91097E+11
000026.SZ,飞亚达,3783617500,220122500,7.625,6.532,0.4943,8.265,8.1039,29.4179,2.4236,4.479,8.9329,40.1436,5.9926,272879727,4321680,567908833.2,3704210735,年报,2353444228
000034.SZ,神州数码,1.09426E+11,917404286,18.4767,7.8491,1.0788,17.0793,4.863,85.1301,1.0375,13.2207,6.0413,4.0168,6.6845,920251889.7,2102378245,9691753164,86803376390,年报,71863726472
000039.SZ,中集集团,89027968333,1302965000,3.28,11.0338,0.37,4.0278,4.0837,68.0212,1.276,8.3228,-8.2166,14.5192,9.833,5838747000,30918302000,17557197000,85815341000,年报,63408708000
000050.SZ,深天马A,35593447000,1254155000,4.3311,14.1796,0.4049,3.1468,2.7091,59.1951,0.7054,9.0178,4.7401,16.8469,13.0399,1003532359,13408450000,5808322051,30281970068,年报,26249327643
000059.SZ,华锦股份,38103000000,1227000000,8.6767,8.7476,0.62,7.4147,5.4914,51.817,1.4715,-14.1832,6.9446,14.5578,8.5086,1208679681,3257527189,6710000000,39608340979,年报,23446889770
000060.SZ,中金岭南,21230550000,792260000,9.094,3.295,0.24,8.0164,5.9314,44.0773,1.063,4.1744,14.2116,9.0958,3.0632,1039754177,915312610,3316159818,22800522837,年报,24164924879
000062.SZ,深圳华强,16680280000,761320000,12.64,5.6602,0.6024,12.7726,9.3559,49.6825,1.4374,10.1785,21.6579,11.1551,4.9525,894890287.4,417548001.2,3167398644,14355283742,年报,11346467223
000063.SZ,中兴通讯,1.09229E+11,6266787297,14.6406,9.3938,1.22,19.905,5.8753,73.1206,1.1875,9.1622,6.1083,37.1716,5.3399,7552182000,10045093000,26645966000,90736582000,年报,85937972000
000069.SZ,华侨城A,59370111111,12890888889,18.4456,8.4687,1.5044,19.3176,6.1935,74.9767,1.4879,28.4555,24.6465,56.5828,8.3685,19230737681,69637641851,23348658233,60025027202,年报,27272487562
000090.SZ,天健集团,11786666667,1069000000,11.15,4.7933,0.6042,13.5199,5.3621,76.0364,1.543,27.0066,43.6438,23.3881,4.1718,1800581105,7403626440,2052140000,14665288591,年报,17224348886
000099.SZ,中信海直,1340000000,145000000,4.4,5.58,0.35,6.6625,6.2464,42.148,1.6288,3.4975,9.9147,25.6296,5.3954,255939936.9,300329981.8,244741691.6,1567253301,年报,1270305759
000100.SZ,TCL科技,69950411579,3842983684,10.9313,2.6196,0.1986,8.6386,3.1389,61.2465,1.1184,-14.4835,-33.8982,11.4715,2.2258,3976839000,38512059000,12069657000,74933086000,年报,54968516648
000157.SZ,中联重科,49145058710,5321757742,11.9544,5.7418,0.58,11.3449,6.9528,57.0609,1.8269,-1.4858,50.915,30.0013,4.935,5013923090,2842053921,5042879850,43307395375,年报,36266728295
000333.SZ,美的集团,2.81725E+11,23756315625,23.8532,14.4988,3.6,26.2109,9.5474,64.4,1.5,14.5067,7.1443,28.8632,14.5827,29683092000,41298377000,5701838000,2.78216E+11,年报,2.32052E+11
000338.SZ,潍柴动力,1.83539E+11,10151982917,18.3788,6.7987,1.15,21.5406,6.5675,70.5383,1.1918,15.3721,9.4848,21.7983,5.7001,14155892682,11373657991,2014692401,1.74361E+11,年报,1.55997E+11
000401.SZ,冀东水泥,38271047368,3428580694,19.4288,12.9143,1.853,18.0456,12.0953,52.5172,0.7768,-15.8903,9.7268,37.0692,9.1784,6307076908,2375000000,7600836930,34507031965,年报,12398975529
000417.SZ,合肥百货,9940500000,132000000,3.25,5.235,0.2047,4.1264,3.7514,56.2743,0.9269,2.9373,2.1215,19.7693,5.0865,399166270.1,374634881.7,210317603.1,10908554054,年报,10490857643
000425.SZ,徐工机械,55435644375,3856482601,12.5969,3.9167,0.432,11.4355,5.8733,56.4685,1.6373,26.1907,33.2492,17.4532,3.6397,4083146794,2762961374,3043550943,59175998918,年报,55383289954
000488.SZ,晨鸣纸业,30924285714,2030285714,8.4167,8.5367,0.33,6.5974,4.7087,73.1114,0.853,-6.9881,5.2628,28.3646,6.0952,1583669508,9140339694,36883156014,30395434073,年报,24341507221
000498.SZ,山东路桥,22617750000,888507500,13.6733,5.6148,0.5533,11.7915,4.1976,74.2626,1.181,29.3572,52.3124,9.2764,4.9205,1067632014,3069570096,2210941315,23260476870,年报,15873761778
000501.SZ,鄂武商A,17912333333,1053666667,11.62,11.9633,1.6,13.7959,6.9756,59.6956,0.5158,3.0956,0.2854,22.4296,12.3667,1551086629,1061286370,1072357048,17756087656,年报,5165861460
000521.SZ,长虹美菱,15762500000,52000000,1.1,4.8109,0.054,1.1265,0.1998,64.0058,1.2509,-8.7366,-5.3568,18.7127,4.7913,68708060.47,401280000,1103991046,16553252895,年报,9126312968
000528.SZ,柳工,19613960000,1020262000,9.83,7.058,0.69,10.1785,4.9547,63.7307,1.4722,13.9226,6.0407,23.6623,7.0131,1309698478,3621720517,5020619480,19177295779,年报,17919274824
000553.SZ,安道麦A,28124444000,1390256000,5.674,10.0905,0.1132,1.2409,2.446,50.6024,2.1048,2.6144,2.5903,32.2303,9.1442,529700000,927159000,2009882000,27563239000,年报,27128972000
000598.SZ,兴蓉环境,5223673000,1211698000,9.7478,4.1742,0.36,9.97,6.0972,52.6595,0.8471,21.1061,16.3085,38.9289,3.7662,1303228756,2370380015,700952416.7,4838024958,年报,3934876698
